fita,status,ult movimentação
DIH273L5,ARMAZENADO,16/07/2019
DII395L5,EM CLIENTE,19/01/2021
CZY979L5,ARMAZENADO,14/06/2022
AJE743L8,EM CLIENTE,19/07/2022
FTG878L5,EM CLIENTE,25/01/2022
FCF102L5,ARMAZENADO,21/05/2019
SP0010L5,ARMAZENADO,21/06/2022
CZZ000L5,EM CLIENTE,13/09/2022
FCD193L5,ARMAZENADO,
DIH129L5,ARMAZENADO,01/06/2021
BDB749L6,ARMAZENADO,17/05/2022
FTC682L5,ARMAZENADO,19/04/2022
BBM709L5,ARMAZENADO,04/01/2022
FTF004L5,ARMAZENADO,01/03/2022
SAA205L5,ARMAZENADO,19/04/2022
BDB741L6,ARMAZENADO,05/04/2022
VV0154L5,ARMAZENADO,16/04/2019
CIO190L6,ARMAZENADO,
FIB982L5,ARMAZENADO,17/05/2022
DOL866L5,ARMAZENADO,17/09/2019
GFK786L5,ARMAZENADO,22/03/2022
CZZ033L5,EM CLIENTE,17/11/2022
DIH225L5,EM CLIENTE,31/08/2020
FCD063L5,EM CLIENTE,16/04/2019
BDB434L6,ARMAZENADO,05/04/2022
DIH053L5,EM CLIENTE,13/09/2022
CPW122L4,ARMAZENADO,16/08/2022
FTG654L5,EM CLIENTE,06/12/2022
FCD607L5,ARMAZENADO,01/11/2021
FFC042L5,ARMAZENADO,08/09/2020
CPW102L4,EM CLIENTE,18/10/2022
FTH074L5,ARMAZENADO,24/12/2019
GFK826L5,ARMAZENADO,31/05/2022
CRZ025L5,ARMAZENADO,14/01/2020
DIH234L5,ARMAZENADO,15/02/2022
FTH139L5,ARMAZENADO,01/02/2022
FCD199L5,EM CLIENTE,16/08/2022
FCD373L5,ARMAZENADO,14/01/2020
BDB538L6,ARMAZENADO,15/09/2020
DIH304L5,EM CLIENTE,12/11/2019
FTD398L5,EM CLIENTE,10/06/2022
CZY967L5,EM CLIENTE,15/06/2021
FTD305L5,ARMAZENADO,28/09/2021
FCE935L5,EM CLIENTE,15/12/2020
FTD006L5,ARMAZENADO,28/09/2021
FTE818L5,ARMAZENADO,12/11/2019
FIC057L5,ARMAZENADO,03/05/2022
CRZ039L5,EM CLIENTE,17/10/2019
BDB593L6,ARMAZENADO,01/03/2022
FFB981L5,ARMAZENADO,06/07/2021
BDB716L6,EM CLIENTE,10/06/2022
FCE979L5,ARMAZENADO,04/01/2022
BDB900L6,ARMAZENADO,04/01/2022
FFB988L5,ARMAZENADO,15/03/2022
FTC661L5,ARMAZENADO,12/04/2022
FCF046L5,ARMAZENADO,06/07/2021
BDB752L6,ARMAZENADO,17/05/2022
CIO170L6,ARMAZENADO,
CZX785L5,ARMAZENADO,
FCD464L5,EM CLIENTE,20/08/2019
BDB850L6,ARMAZENADO,28/09/2021
FFC250L5,ARMAZENADO,14/06/2022
VV0019L5,ARMAZENADO,
GAC391L5,ARMAZENADO,13/10/2020
FTH471L5,ARMAZENADO,
CHC192L6,ARMAZENADO,27/12/2019
BDB465L6,ARMAZENADO,22/10/2019
FTD326L5,ARMAZENADO,01/11/2021
FTE841L5,ARMAZENADO,17/12/2019
BUR973L6,ARMAZENADO,15/12/2020
DIH189L5,EM CLIENTE,31/08/2020
CPW111L4,EM CLIENTE,17/12/2019
FTC597L5,ARMAZENADO,01/03/2022
DIE169L5,ARMAZENADO,16/06/2020
BDB767L6,ARMAZENADO,19/04/2022
FCD680L5,ARMAZENADO,
CZX783L5,ARMAZENADO,25/08/2020
FTH508L5,ARMAZENADO,16/06/2020
DIH083L5,EM CLIENTE,01/06/2021
BDB893L6,ARMAZENADO,30/11/2021
FTE847L5,EM CLIENTE,06/12/2022
DIH192L5,EM CLIENTE,17/12/2019
BDB873L6,ARMAZENADO,01/11/2021
FCD083L5,ARMAZENADO,14/12/2021
BDB539L6,ARMAZENADO,23/07/2019
FTE824L5,ARMAZENADO,21/05/2019
SPN068L5,ARMAZENADO,21/02/2019
SPN034L5,ARMAZENADO,16/04/2019
BBM747L5,ARMAZENADO,30/11/2021
BDB775L6,ARMAZENADO,19/04/2022
BDB514L6,ARMAZENADO,31/08/2021
FCE912L5,EM CLIENTE,25/01/2022
CZZ031L5,EM CLIENTE,17/11/2022
FCF570L5,EM CLIENTE,08/12/2021
FTC990L5,ARMAZENADO,20/07/2021
PTA013L5,ARMAZENADO,16/04/2019
CZX764L5,EM CLIENTE,14/01/2020
FFC233L5,EM CLIENTE,04/11/2020
SPN030L5,ARMAZENADO,09/04/2019
DII387L5,ARMAZENADO,
SJP031L7,ARMAZENADO,
DIH048L5,ARMAZENADO,01/06/2021
DII054L5,ARMAZENADO,03/05/2022
FTG571L5,ARMAZENADO,17/12/2019
BLK093L5,ARMAZENADO,12/11/2019
FTC771L5,EM CLIENTE,08/03/2022
FCD233L5,ARMAZENADO,10/06/2022
FTE844L5,ARMAZENADO,20/08/2019
FIC053L5,ARMAZENADO,07/12/2021
DIH976L5,ARMAZENADO,17/05/2022
FTH517L5,ARMAZENADO,23/07/2019
FIC014L5,ARMAZENADO,01/03/2022
CZY990L5,ARMAZENADO,
FTD053L5,ARMAZENADO,21/11/2019
CPW180L4,ARMAZENADO,17/12/2019
BUR952L6,EM CLIENTE,21/04/2021
FTH064L5,ARMAZENADO,20/07/2021
FIC036L5,ARMAZENADO,01/03/2022
FTG716L5,ARMAZENADO,14/12/2021
BDB536L6,ARMAZENADO,20/08/2019
CZZ011L5,EM CLIENTE,06/12/2022
FTH370L5,ARMAZENADO,31/08/2021
BDB688L6,ARMAZENADO,03/05/2022
FCD184L5,EM CLIENTE,10/06/2022
CZZ025L5,EM CLIENTE,25/08/2020
FIB969L5,ARMAZENADO,28/09/2021
FFC173L5,ARMAZENADO,08/03/2022
BDB714L6,EM CLIENTE,10/06/2022
SAA215L5,ARMAZENADO,19/04/2022
FCD630L5,ARMAZENADO,22/03/2022
BDB444L6,ARMAZENADO,03/05/2022
FCD569L5,ARMAZENADO,23/11/2021
VV0026L5,ARMAZENADO,
AJE684L8,EM CLIENTE,19/07/2022
FTH129L5,ARMAZENADO,08/09/2020
FTH552L5,ARMAZENADO,
FTE798L5,ARMAZENADO,18/10/2022
UHU011L5,EM CLIENTE,19/05/2020
BBM702L5,ARMAZENADO,04/01/2022
CZX562L5,ARMAZENADO,16/04/2019
FXZ760L5,ARMAZENADO,
FTD009L5,ARMAZENADO,04/01/2022
FTD052L5,ARMAZENADO,21/11/2019
FTH544L5,ARMAZENADO,17/09/2019
DIH183L5,ARMAZENADO,
FTH143L5,ARMAZENADO,01/02/2022
FTE794L5,ARMAZENADO,17/10/2019
BDB870L6,ARMAZENADO,01/11/2021
FCD666L5,ARMAZENADO,
BDB791L6,EM CLIENTE,10/06/2022
CFL171L6,ARMAZENADO,26/03/2019
BDB813L6,ARMAZENADO,22/03/2022
BDB757L6,ARMAZENADO,17/05/2022
FTH111L5,ARMAZENADO,22/03/2022
BDB466L6,ARMAZENADO,22/10/2019
FTC647L5,ARMAZENADO,10/06/2022
CQZ567L5,EM CLIENTE,16/06/2020
BUR972L6,ARMAZENADO,15/12/2020
BDB648L6,ARMAZENADO,06/07/2021
VV0001L5,ARMAZENADO,
BDB622L6,ARMAZENADO,26/04/2022
CHC206L6,ARMAZENADO,
FTC971L5,ARMAZENADO,04/01/2022
FCE902L5,EM CLIENTE,16/02/2021
FTD374L5,ARMAZENADO,24/05/2022
FFC055L5,ARMAZENADO,17/05/2022
FCD566L5,ARMAZENADO,23/11/2021
BLK109L5,ARMAZENADO,15/03/2022
FCD967L5,EM CLIENTE,14/04/2020
FTC585L5,ARMAZENADO,28/09/2021
FCF092L5,ARMAZENADO,27/12/2019
GFK787L5,ARMAZENADO,22/03/2022
BDB632L6,ARMAZENADO,31/05/2022
FFC228L5,EM CLIENTE,22/03/2022
GFK797L5,ARMAZENADO,22/03/2022
FTG569L5,ARMAZENADO,14/04/2020
GOI015L7,EM CLIENTE,14/09/2021
CIO175L6,ARMAZENADO,
VV0148L5,ARMAZENADO,
CZY681L5,ARMAZENADO,
DIH297L5,ARMAZENADO,02/07/2019
FTD257L5,ARMAZENADO,
FCF058L5,ARMAZENADO,20/07/2021
FFC045L5,ARMAZENADO,08/09/2020
BLK110L5,ARMAZENADO,15/03/2022
FTC830L5,ARMAZENADO,13/07/2021
GFK792L5,ARMAZENADO,22/03/2022
FCD201L5,ARMAZENADO,
BBM785L5,ARMAZENADO,17/11/2020
